,Case Number,Project Names,Amount,Date,Beneficiaries,Beneficiary type,Number of donations,Partner,Location,Details URL
0,P49631,وجبات الإفطار في ساحات الحرم المكي,"300,000ر.س",07/03/2025,"20,000",المواطنون والمقيمون بالمملكة,"16,226",جمعية البر الخيرية بالأبواء,مكة المكرمة,https://ehsan.sa/projects/0/48632?amount=null
1,P49553,وجبات السحور للصائمين,"280,000ر.س",07/03/2025,"20,000",المواطنون والمقيمون بالمملكة,"24,403",جمعية البر الخيرية بالنويعمة,وادى الدواسر,https://ehsan.sa/projects/0/48554?amount=null
2,P49625,وجبات الإفطار لضيوف الرحمن,"300,000ر.س",07/03/2025,"30,000",المواطنون والمقيمون بالمملكة,"11,930",جمعية البر الخيرية بالحوية,السيل الكبير,https://ehsan.sa/projects/0/48626?amount=null
3,P49618,ترميم مساكن المتعففين,"300,000ر.س",07/03/2025,11,المواطنون,"9,378",الجمعية الخيرية ببللحمر,باللحمر,https://ehsan.sa/projects/0/48619?amount=null
4,P49626,عملية في العمود الفقري لمريضة متعففة,"24,000ر.س",07/03/2025,1,المقيمون بالمملكة,145,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48627?amount=null
5,P49624,إفطار الصائمين,"123,615ر.س",07/03/2025,"30,000",المواطنون والمقيمون بالمملكة,"6,391",المكتب للدعوة والارشاد وتوعية الجاليات برفحاء,رفحاء,https://ehsan.sa/projects/0/48625?amount=null
6,P49584,سقيا الماء للأسر المتعففة,"300,000ر.س",07/03/2025,"300,000",المواطنون والمقيمون بالمملكة,"26,966",جمعية حفظ النعمة بمنطقة مكة المكرمة,جدة,https://ehsan.sa/projects/0/48585?amount=null
7,P49623,عملية في الفقرات العنقية لمريض متعفف,"25,000ر.س",07/03/2025,1,المقيمون بالمملكة,355,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48624?amount=null
8,P49614,كفالة كبار السن المحتاجين,"282,000ر.س",07/03/2025,141,المواطنون,"6,453",جمعية البر الخيرية برهاط,ارهاط,https://ehsan.sa/projects/0/48615?amount=null
9,P49617,وجبات الإفطار لضيوف الرحمن,"378,000ر.س",07/03/2025,"42,000",المواطنون والمقيمون بالمملكة,"20,054",جمعية البر للخدمات الاجتماعية بمركز الأكحل,المدينة المنورة,https://ehsan.sa/projects/0/48618?amount=null
