Unnamed: 0,Case Number,Project Names,Amount,Date,Beneficiaries,Beneficiary type,Number of donations,Partner,Location,Details URL,Hijri_Month
0,P49631,وجبات الإفطار في ساحات الحرم المكي,300000,2025-03-07,20000,المواطنون والمقيمون بالمملكة,16226,جمعية البر الخيرية بالأبواء,مكة المكرمة,https://ehsan.sa/projects/0/48632?amount=null,رمضان
1,P49553,وجبات السحور للصائمين,280000,2025-03-07,20000,المواطنون والمقيمون بالمملكة,24403,جمعية البر الخيرية بالنويعمة,وادى الدواسر,https://ehsan.sa/projects/0/48554?amount=null,رمضان
2,P49625,وجبات الإفطار لضيوف الرحمن,300000,2025-03-07,30000,المواطنون والمقيمون بالمملكة,11930,جمعية البر الخيرية بالحوية,السيل الكبير,https://ehsan.sa/projects/0/48626?amount=null,رمضان
3,P49618,ترميم مساكن المتعففين,300000,2025-03-07,11,المواطنون,9378,الجمعية الخيرية ببللحمر,باللحمر,https://ehsan.sa/projects/0/48619?amount=null,رمضان
4,P49626,عملية في العمود الفقري لمريضة متعففة,24000,2025-03-07,1,المقيمون بالمملكة,145,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48627?amount=null,رمضان
5,P49624,إفطار الصائمين,123615,2025-03-07,30000,المواطنون والمقيمون بالمملكة,6391,المكتب للدعوة والارشاد وتوعية الجاليات برفحاء,رفحاء,https://ehsan.sa/projects/0/48625?amount=null,رمضان
6,P49584,سقيا الماء للأسر المتعففة,300000,2025-03-07,300000,المواطنون والمقيمون بالمملكة,26966,جمعية حفظ النعمة بمنطقة مكة المكرمة,جدة,https://ehsan.sa/projects/0/48585?amount=null,رمضان
7,P49623,عملية في الفقرات العنقية لمريض متعفف,25000,2025-03-07,1,المقيمون بالمملكة,355,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48624?amount=null,رمضان
8,P49614,كفالة كبار السن المحتاجين,282000,2025-03-07,141,المواطنون,6453,جمعية البر الخيرية برهاط,ارهاط,https://ehsan.sa/projects/0/48615?amount=null,رمضان
9,P49617,وجبات الإفطار لضيوف الرحمن,378000,2025-03-07,42000,المواطنون والمقيمون بالمملكة,20054,جمعية البر للخدمات الاجتماعية بمركز الأكحل,المدينة المنورة,https://ehsan.sa/projects/0/48618?amount=null,رمضان
10,P49616,وجبات الإفطار للصائمين,216000,2025-03-06,18000,المواطنون والمقيمون بالمملكة,15259,جمعية إكرام النعم بمحافظة الرس,الرس,https://ehsan.sa/projects/0/48617?amount=null,رمضان
11,P49441,دعم المقبلين على الزواج,360000,2025-03-06,36,المواطنون,25733,الجمعية الخيرية لتيسير الزواج والرعاية الأسرية بعنيزة تآلف,عنيزة,https://ehsan.sa/projects/0/48442?amount=null,رمضان
12,P49619,وجبات الإفطار للصائمين,100000,2025-03-06,12500,المواطنون والمقيمون بالمملكة,4488,سخاء لإكرام ضيوف الرحمن,المدينة المنورة,https://ehsan.sa/projects/0/48620?amount=null,رمضان
13,P49571,وجبات إفطار الصائمين,225000,2025-03-05,15000,المقيمون بالمملكة,12858,جمعية الدعوة والارشاد وتوعية الجاليات بنخال,نخال,https://ehsan.sa/projects/0/48572?amount=null,رمضان
